| name                      | title                     | level | facing   | categories   | description                                                                                                                                    | detail                                                                                                                                                       | remediation                                                                                   | metadata                                                                                                                          | cache_key                                                  |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.journeys\` is public, but RLS has not been enabled.                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"journeys","type":"table","schema":"public"}                                                                              | rls_disabled_in_public_public_journeys                     |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.user_day_state\` is public, but RLS has not been enabled.                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"user_day_state","type":"table","schema":"public"}                                                                        | rls_disabled_in_public_public_user_day_state               |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.payments\` is public, but RLS has not been enabled.                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"payments","type":"table","schema":"public"}                                                                              | rls_disabled_in_public_public_payments                     |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.users\` is public, but RLS has not been enabled.                                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"users","type":"table","schema":"public"}                                                                                 | rls_disabled_in_public_public_users                        |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.external_payment_sessions\` is public, but RLS has not been enabled.                                                                          | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"external_payment_sessions","type":"table","schema":"public"}                                                             | rls_disabled_in_public_public_external_payment_sessions    |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.system_errors\` is public, but RLS has not been enabled.                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"system_errors","type":"table","schema":"public"}                                                                         | rls_disabled_in_public_public_system_errors                |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.invoices\` is public, but RLS has not been enabled.                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"invoices","type":"table","schema":"public"}                                                                              | rls_disabled_in_public_public_invoices                     |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.mentor_business_profiles\` is public, but RLS has not been enabled.                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"mentor_business_profiles","type":"table","schema":"public"}                                                              | rls_disabled_in_public_public_mentor_business_profiles     |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.mentor_wallets\` is public, but RLS has not been enabled.                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"mentor_wallets","type":"table","schema":"public"}                                                                        | rls_disabled_in_public_public_mentor_wallets               |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.wallet_transactions\` is public, but RLS has not been enabled.                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"wallet_transactions","type":"table","schema":"public"}                                                                   | rls_disabled_in_public_public_wallet_transactions          |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.withdrawal_requests\` is public, but RLS has not been enabled.                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"withdrawal_requests","type":"table","schema":"public"}                                                                   | rls_disabled_in_public_public_withdrawal_requests          |
| sensitive_columns_exposed | Sensitive Columns Exposed | ERROR | EXTERNAL | ["SECURITY"] | Detects tables exposed via API that contain columns with potentially sensitive data (PII, credentials, financial info) without RLS protection. | Table `public.external_payment_sessions` is exposed via API without RLS and contains potentially sensitive column(s): token. This may lead to data exposure. | https://supabase.com/docs/guides/database/database-linter?lint=0023_sensitive_columns_exposed | {"name":"external_payment_sessions","type":"table","schema":"public","matched_patterns":["token"],"sensitive_columns":["token"]}  | sensitive_columns_exposed_public_external_payment_sessions |
| sensitive_columns_exposed | Sensitive Columns Exposed | ERROR | EXTERNAL | ["SECURITY"] | Detects tables exposed via API that contain columns with potentially sensitive data (PII, credentials, financial info) without RLS protection. | Table `public.participants` is exposed via API without RLS and contains potentially sensitive column(s): access_token. This may lead to data exposure.       | https://supabase.com/docs/guides/database/database-linter?lint=0023_sensitive_columns_exposed | {"name":"participants","type":"table","schema":"public","matched_patterns":["access_token"],"sensitive_columns":["access_token"]} | sensitive_columns_exposed_public_participants              |
